No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
45,"Giant Ballon On the Race Truck!!!","//www.stancepride.com/giant-ballon-race-truck/","//www.filmywap.chat/tamilgun/",10,13,7,"filmywap bollywood 2018","2022-09-26","2022-09-26"
46,"锂离子蓄电池是新能源汽车的热点和难点 | 锂电中国","//www.libattery.net/wp/?p=257","//www.filmywap.chat/tamilgun/",9,35,22,"filmywap bollywood movies","2022-09-26","2022-09-26"
47,"","//www.ipronosticidijbet.it/pronostico-premier-24-giornata/","//www.filmywap.chat/filmywap-2/",9,28,40,"filmywap punjabi","2022-09-23","2022-09-23"
48,"Caribe – Turismo del Sur","//www.turismodelsur.cl/destination/caribe/","//www.filmywap.chat/filmywap-2/",9,27,12,"filmywap zone","2022-09-23","2022-09-23"
49,"Alexa top domain list ||  page  16","//www.3gp.co.in/domain-list-16","//www.filmywap.chat/",9,23,52,"filmywap.baby","2022-09-15","2022-09-18"
50,"Alexa top domain list ||  page  16","//cricketlive.co.in/domain-list-16","//www.filmywap.chat/",9,22,33,"filmywap.baby","2022-09-17","2022-09-17"
51,"Alexa top domain list ||  page  16","//www.cashbackdeals.in/domain-list-16","//www.filmywap.chat/",9,22,41,"filmywap.baby","2022-09-20","2022-09-20"
52,"","//www.filmywap.pics/view/2898/2.html","//www.filmywap.chat/view/2898/2.html",9,17,null,"","2022-09-14","2022-09-14"
53,"D.L. 25/2017: abrogazione del lavoro accessorio (e dei voucher) e modifiche alla responsabilità solidale negli appalti - Galbusera&Partners","//www.galbuseraandpartners.com/blog/voucher/","//www.filmywap.chat/filmywap-2/",8,33,13,"filmywap","2022-09-23","2022-09-23"
54,"Alexa top domain list ||  page  16","//janhit.in/domain-list-16","//www.filmywap.chat/",8,25,41,"filmywap.baby","2022-09-13","2022-09-15"
55,"","//www.icsmaster.org/archives/ics/942","//www.filmywap.chat/marathi-movies/",8,22,31,"https://filmywap.stream/marathi-movies/","2022-09-26","2022-09-26"
56,"NO BASTA CON QUEJARSE PARA CAMBIAR EL MUNDO – De todo un poco","//tequieroenmivida.com/no-basta-con-quejarse-para-cambiar-el-mundo/","//www.filmywap.chat/filmywap-2/",8,18,32,"filmywap","2022-09-23","2022-09-23"
57,"","//sai.web.user.ima24.net/blog/?page_id=23","//www.filmywap.chat/filmywap-2/",8,17,57,"filmywap bollywood movie","2022-09-23","2022-09-23"
58,"","//oliver-rast.de/bestrafter-antifaschismus-wird-der-sv-babelsberg-03-aus-der-regionalliga-ausgeschlossen-weil-er-etwas-gegen-nazis-hat/","//www.filmywap.chat/filmywap-2/",8,15,7,"filmywap bollywood","2022-09-23","2022-09-23"
59,"","//www.filmywap.skin/view/2563/2.html","//www.filmywap.chat/view/2563/2.html",8,14,null,"","2022-09-18","2022-09-21"
60,"ornament - Yoga Studio Saint-Mandé","//www.yogasaintmande94160.com/home/ornament-2/","//www.filmywap.chat/marathi-movies/",8,12,56,"filmywap new movies","2022-09-26","2022-09-26"
61,"","//lemajour.com.ua/restaurantmenu/badenhorst-family-wines-secateurs-chenin-blanc-swartland/","//www.filmywap.chat/filmywap-2/",8,12,2,"filmywap.com","2022-09-23","2022-09-23"
62,"Alexa top domain list ||  page  16","//www.muchmore.in/domain-list-16","//www.filmywap.chat/",7,25,48,"filmywap.baby","2022-09-16","2022-09-16"
63,"","//www.filmywap.bar/file/all-of-us-are-dead-2022-hindi-s01-e12-netflix-web-dl-mp4.html","//www.filmywap.chat/file/all-of-us-are-dead-2022-hindi-s01-e12-netflix-web-dl-mp4.html",7,18,6,"","2022-09-21","2022-09-21"
64,"Backhaus -Biolio","//www.biolio.de/business-directory/6080/backhaus-5/","//www.filmywap.chat/tamilgun/",7,13,10,"filmywap app","2022-09-26","2022-09-26"
65,"","//www.filmywap.systems/tag/varuthapadatha-valibar-sangam-2013-dual-audio-hindi-web-dl-x264-ac3-450mb-hd/","//www.filmywap.chat/tag/varuthapadatha-valibar-sangam-2013-dual-audio-hindi-web-dl-x264-ac3-450mb-hd/",7,10,null,"","2022-09-21","2022-09-21"
66,"","//filmywap.stream/filmywap-2/","//www.filmywap.chat/filmywap-2/",6,30,null,"","2022-09-23","2022-09-23"
67,"rdxhd punjabi movies download | RdxHD.Com New Bollywood, Hollywood Mov","//www.au-directory.com/search/rdxhd-punjabi-movies-download","//www.filmywap.chat/category/punjabi-movies.html",6,20,null,"","2022-09-10","2022-09-10"
68,"Another Dinghy Mishap – Sails Half Full","//sailshalffull.com/another-dinghy-mishap/","//www.filmywap.chat/tamilgun/",6,19,73,"filmywap","2022-09-26","2022-09-26"
69,"","//lamarinarealestate.com/lorem-ipsum-3/","//www.filmywap.chat/tamilgun/",6,18,47,"filmywap 2019","2022-09-26","2022-09-26"
70,"James Blunt You're Beautiful mp3 - Wapkellyloaded.com","//www.wapkellyloaded.com/2019/04/05/james-blunt-youre-beautiful-free-mp3-download/","//www.filmywap.chat/tamilgun/",6,18,9,"filmywap bollywood","2022-09-26","2022-09-26"
71,"FilmyZilla.IN 2022 Bollywood Hindi Movies Filmywap","//filmyzilla.observer/in/","//www.filmywap.chat/",6,14,null,"[more updates...]","2022-09-12","2022-09-12"
72,"","//www.filmywap.institute/page/2/?letter=true&s=title-e","//www.filmywap.chat/page/2/?letter=true&s=title-e",6,10,null,"","2022-09-15","2022-09-15"
73,"","//www.daqianduan.com/1044.html","//www.filmywap.chat/marathi-movies/",5,34,28,"filmywap download","2022-09-26","2022-09-26"
74,"","//www.filmywap.beauty/download/3378/server_2","//www.filmywap.chat/download/3378/server_2",5,15,null,"","2022-09-17","2022-09-17"
75,"","//olis-bienen.ch/produkt/fluglochschieber-rostfrei/","//www.filmywap.chat/filmywap-2/",5,14,10,"https://filmywap.stream/filmywap-2/","2022-09-23","2022-09-23"
76,"","//www.filmywap.monster/cast/caitlin-rigney/feed/","//www.filmywap.chat/cast/caitlin-rigney/feed/",5,6,null,"","2022-09-13","2022-09-13"
77,"","//www.filmywap.baby/","//www.filmywap.chat/",4,21,null,"","2022-09-12","2022-09-12"
78,"","//www.filmywap.bond/view/3069/2.html","//www.filmywap.chat/view/3069/2.html",4,7,null,"","2022-09-16","2022-09-16"
79,"","//ici3.unblog.fr/2015/07/18/un-pecheur-et-son-chien-sauve-bebe-dolphin-echoue/comment-page-3/","//www.filmywap.chat/filmywap-2/",3,16,22,"https://filmywap.stream/filmywap-2/","2022-09-23","2022-09-23"
80,"Latest 2021 Hollywood Movies Dubbed in Hindi 2021 Hindi Dubbed New Movie Download Filmywap","//www.filmywap.support/category/latest-hollywood-hindi-dubbed-movies-2021.html?sort_by=s","//www.filmywap.chat/category/latest-hollywood-hindi-dubbed-movies-2021.html?sort_by=default",3,12,null,"","2022-09-12","2022-09-15"
81,"","//www.filmywap.hair/ghost-stories-2020-nf-full-movie-hindi-720p-webrip-esubs/","//www.filmywap.chat/ghost-stories-2020-nf-full-movie-hindi-720p-webrip-esubs/",3,11,null,"","2022-09-10","2022-09-10"
82,"Tapan Charmsukh Ullu Web Series Story, Actress And Director Name, Released Date, Watch Online -","//www.filmyamit.com/webseries/tapan-charmsukh-ullu-web-series-story-actress-and-director-name-released-date-watch-online/","//www.filmywap.chat/",3,4,null,"filmywap","2022-09-19","2022-09-19"
83,"Download Yaanai (2022) WEB-DL Hindi [HQ-Dubbed] Dual Audio","//filmywaps.com/yaanai/.html","//www.filmywap.chat/view/10588/1.html",2,10,50,"download","2022-09-14","2022-09-14"
84,"","//lutfurrahmanswebsite.blog/2018/01/15/%E0%A6%B8%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%95%E0%A6%9F%E0%A6%BF%E0%A6%AD-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A7%80-%E0%A6%95%E0%A6%BF%E0%A6%AE%E0%A7%8D/comment-page-3/","//www.filmywap.chat/marathi-movies/",1,11,null,"filmywap com 2014","2022-09-26","2022-09-26"
85,"","//www.filmywap.wiki/mobile/search?find=ullu&per_page=8","//www.filmywap.chat/mobile/search?find=ullu&per_page=8",1,10,41,"","2022-09-15","2022-09-15"
86,"","//designwebsitestheme.blogspot.com/2018/02/shadaa-movie-download-filmywap-hd.html","//www.filmywap.chat/wp-content/uploads/2019/07/Drishyam-Hindi-Poster.jpg",1,8,1,"","2022-09-26","2022-09-26"
87,"Download Cuttputlli (2022) Hindi Full Movie - Bcnstar","//bcnstar.in/download-cuttputlli-2022-hindi-full-movie/.html","//www.filmywap.chat/view/10614/3.html",1,6,null,"download","2022-09-16","2022-09-16"
